Year,Milk and milk products excluding cheese,Cheese,Carcase meat,Non-carcase meat and meat products,Fish,Eggs,Fats,Sugar and preserves,Fresh and processed potatoes,"Fresh and processed vegetables, excluding potatoes",Fresh and processed fruit,Bread,Flour,"Cakes, buns and pastries",Biscuits and crispbreads,Other cereals and cereal products,Beverages,"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",Soft drinks,Confectionery,Alcoholic drinks
1995,150.4072187071,48.8353227538,100.6084133027,301.3112086534,75.0233473595,15.9329095561,37.4707302905,20.0810590904,110.2493931816,142.3158650661,117.6213354251,75.7831295501,2.4373940533,51.3597271459,45.6667452755,118.445459409,51.2091068005,82.444897095,53.6207464009,63.1978015039,179.5789504817
1996,147.9614716275,53.2595770132,103.9966417007,320.663627182,78.4401369509,16.9014331069,40.6595809085,22.7403758057,110.3731548686,148.9803180379,124.6326578576,78.8304000952,2.8078695792,56.2442535726,53.0287307679,124.956279914,53.3407235454,87.5184861215,56.0104384973,69.7485755277,187.2922401212
1997,147.585821587,54.5160513997,104.7904242345,328.8485619608,77.1647661169,16.2410065219,38.4360229506,21.2153679093,99.9277381936,152.2763337557,133.7862492448,78.8527554318,2.2405745473,58.828779993,51.1258281596,130.0417721301,51.1064187254,94.2205593942,57.2134922171,71.7624154172,193.3720050421
1998,143.7639873488,51.0890999135,99.5066466061,331.6077318413,79.3324137402,15.541383745,36.8837906769,19.4363469136,110.9177766697,155.1280160938,139.7393874971,80.2086056318,2.2591661653,57.2741299045,49.9054119444,129.615301015,55.7232488317,95.5331462762,56.7079757355,70.694266063,211.4947669701
1999,141.2757319149,51.7234215272,98.463050502,327.0064071827,82.5131829256,15.612539842,35.5392912497,16.994004239,112.6632746822,161.6636834872,142.7144549872,79.5013018394,2.4600884592,56.8076020626,48.8097122864,135.5405051471,49.3189589084,96.3183482729,60.588595602,66.7567982682,207.9500551785
2000,146.3594768715,53.9093571208,105.5552875311,338.0098652591,81.0994262119,16.2020465997,36.7050939,16.1956926426,104.9431633766,159.7985663904,146.0450900216,80.8365317448,2.8996556664,58.5717475499,52.0135201323,141.7036825593,49.5288860951,105.221037539,64.9463927222,83.7589794615,238.9424255691
2001,143.9394546772,56.8057303042,103.3969710641,354.9350209642,92.7222370649,16.6558947137,36.3371696676,15.4791277893,103.9524314952,167.0374668662,149.5242667604,86.2361416137,2.3545500155,54.059553421,48.9105005638,165.9251364415,43.8160189601,113.1719145361,72.0352831097,80.7796463818,244.1789894033
2002,147.2706534216,57.9443328832,106.2863614114,364.0757124657,92.8299885327,17.2438308665,36.7496489464,16.117170607,98.6278033316,170.268716535,159.3049262463,88.3041606986,2.7542834278,56.5813061422,53.8307866712,164.9024258912,42.1944023068,116.2415232774,73.9566408013,76.6298634592,248.7969304539
2003,153.6690928507,58.5731872365,110.7602160691,382.0816561927,93.9478054398,17.8865356344,35.7927194253,15.98256497,102.3419827123,177.0997517627,162.5728666412,89.5648734676,2.4470398667,57.4599108016,51.3576131432,167.0535504544,41.1554400049,118.2638244306,83.0938368003,81.0969666699,264.8701955227
2004,156.3435131401,60.123883895,113.940319498,379.8411954545,99.0235866851,18.2079385185,37.1352940652,17.0526840336,101.8831961275,182.0771247239,166.9922520318,92.6478509779,2.7657360503,60.4192838239,53.5013671136,166.3786295992,41.5900448107,123.368824537,81.3980847527,84.2498427542,265.8388112498
2005,164.0004855103,63.1813443736,114.1962023076,380.6936579118,104.2664529564,19.1160998303,37.8916070037,16.9785613779,100.6644276722,193.5820683575,188.4893033494,96.731724515,3.1736120808,61.207351785,54.3817586734,172.7221315538,41.0912397216,124.0469957531,76.7578948212,77.7920194635,265.2572979476
2006,166.8713061384,64.0751380966,119.9698143086,384.5552943767,111.2681804257,18.9011315577,39.6836901632,16.6536485786,103.0050930775,200.1094222277,200.7567398753,102.066321449,2.8719501795,60.4247525848,55.589695706,177.9849555477,41.643682709,128.0825296537,80.682453781,79.746915536,273.3536426256
2007,171.1708129797,67.6679619187,121.2943678007,392.9948216704,115.5365781677,22.5770035058,41.1140204271,17.2084964849,107.6071126117,209.1554758568,202.266133818,108.051440044,3.2981220645,60.4676282417,55.6282596617,181.6089349203,43.2611788827,130.423240646,79.077892145,83.4648335105,280.953451698
2008,186.8603583798,70.2565080399,122.3508740226,405.8218870451,115.0958485713,26.2629759999,48.5986040993,18.5346679727,109.4427647493,210.1939637361,201.2227222374,116.9100804674,4.329236353,63.1809016157,63.5424058302,190.8541466027,44.3936487529,134.9831586889,80.529448041,86.8997939356,262.1483341618
2009,200.1275265944,74.790328987,126.5997460164,422.8751293281,116.8633743819,26.9201543945,46.9675659567,19.634729837,110.6777470253,218.2608399296,200.477882269,117.6982115742,3.8526320682,64.0792579234,65.8553626948,200.9879912081,48.0342187208,143.9110810575,84.7910524661,92.6810909631,288.8051992441
2010,188.935556463,78.8629930862,130.4523902339,441.1920738518,116.7494254734,28.1487362042,49.5223291327,21.2902406544,112.8568859806,230.0140725453,210.9119124881,116.4061416789,3.9872721519,62.6659102575,67.0929152434,211.3421321383,50.5764215109,143.8625114194,89.456409032,95.8198466899,307.3307007475
2011,186.7102296308,80.3357284967,128.70047759,448.8645502986,120.4921916501,28.027157649,53.131422384,21.2635900104,116.1949984284,227.1375730658,215.0251257466,118.6060281512,5.5256428339,64.3102291253,71.3377403108,214.0359741203,50.5733165458,148.2882139066,92.7152536928,100.6069216099,307.5712187307
2012,188.1974273764,80.5728982463,135.7520894685,470.5219272893,123.7652338058,30.2494211716,55.0761620593,22.7673152229,121.2765763232,236.3225212058,223.9613485606,123.2204173773,5.3824573291,69.5636160955,74.46497112,224.5562182474,55.5922951568,158.8188371736,96.107261509,101.9234900585,330.434013503
2013,186.764018477,85.008254133,136.4888698463,484.0529118786,129.1561344288,31.3305371205,54.7365040065,22.6490721303,129.3243867735,245.4254142117,230.3181532917,126.9931586689,4.952766252,68.9009485355,76.0904366,229.4467688588,54.3395427852,162.2128909089,99.9064391419,104.1828295352,324.0930538111
